table,row,val
IIA1,A,0.52030844
IIA1,tL,1.12236710
IIA1,tX,1.37172927
IIA1,g,3.14012748
IIA1o,y,1.00000000
IIA1o,h,1.02686657
IIA1o,x,3.47426969
IIA1o,g_obs,3.14012748
IIA2_A,lag-4,-0.08357120
IIA2_A,lag-3,0.06621212
IIA2_A,lag-2,0.23013342
IIA2_A,lag-1,0.44216914
IIA2_A,lag0,0.72398788
IIA2_A,lag1,0.62563552
IIA2_A,lag2,0.53302282
IIA2_A,lag3,0.42959138
IIA2_A,lag4,0.29937196
IIA2_tL,lag-4,0.42157266
IIA2_tL,lag-3,0.55221327
IIA2_tL,lag-2,0.67076103
IIA2_tL,lag-1,0.73089845
IIA2_tL,lag0,0.68966661
IIA2_tL,lag1,0.60420052
IIA2_tL,lag2,0.47411996
IIA2_tL,lag3,0.33114159
IIA2_tL,lag4,0.17839438
IIA2_tX,lag-4,0.05760201
IIA2_tX,lag-3,0.25970912
IIA2_tX,lag-2,0.44121592
IIA2_tX,lag-1,0.62174807
IIA2_tX,lag0,0.74274524
IIA2_tX,lag1,0.65219226
IIA2_tX,lag2,0.52805859
IIA2_tX,lag3,0.41117884
IIA2_tX,lag4,0.29766724
IIA2_g,lag-4,0.01541256
IIA2_g,lag-3,-0.15350079
IIA2_g,lag-2,-0.33383122
IIA2_g,lag-1,-0.51078669
IIA2_g,lag0,-0.60765147
IIA2_g,lag1,-0.59321927
IIA2_g,lag2,-0.52295620
IIA2_g,lag3,-0.45754492
IIA2_g,lag4,-0.38274435
IIB_z_tL,lag-4,-0.13309586
IIB_z_tL,lag-3,-0.10484031
IIB_z_tL,lag-2,-0.04571935
IIB_z_tL,lag-1,0.02434725
IIB_z_tL,lag0,0.05576595
IIB_z_tL,lag1,0.23075144
IIB_z_tL,lag2,0.27934136
IIB_z_tL,lag3,0.26791684
IIB_z_tL,lag4,0.28340584
IIB_z_tX,lag-4,-0.14230545
IIB_z_tX,lag-3,-0.06032175
IIB_z_tX,lag-2,0.05297873
IIB_z_tX,lag-1,0.24277216
IIB_z_tX,lag0,0.48151894
IIB_z_tX,lag1,0.49005408
IIB_z_tX,lag2,0.44718935
IIB_z_tX,lag3,0.39256822
IIB_z_tX,lag4,0.27557199
IIB_z_g,lag-4,0.05732568
IIB_z_g,lag-3,-0.00107040
IIB_z_g,lag-2,-0.08352535
IIB_z_g,lag-1,-0.23730679
IIB_z_g,lag0,-0.36118778
IIB_z_g,lag1,-0.43743881
IIB_z_g,lag2,-0.39080617
IIB_z_g,lag3,-0.33433420
IIB_z_g,lag4,-0.27632088
IIB_tL_tX,lag-4,0.55024201
IIB_tL_tX,lag-3,0.58460857
IIB_tL_tX,lag-2,0.60845596
IIB_tL_tX,lag-1,0.56969827
IIB_tL_tX,lag0,0.45170342
IIB_tL_tX,lag1,0.33339166
IIB_tL_tX,lag2,0.17829701
IIB_tL_tX,lag3,0.02155364
IIB_tL_tX,lag4,-0.11568724
IIB_tL_g,lag-4,-0.55000582
IIB_tL_g,lag-3,-0.60304199
IIB_tL_g,lag-2,-0.63562791
IIB_tL_g,lag-1,-0.61305012
IIB_tL_g,lag0,-0.55538967
IIB_tL_g,lag1,-0.33284588
IIB_tL_g,lag2,-0.11106403
IIB_tL_g,lag3,0.10201857
IIB_tL_g,lag4,0.29847013
IIB_tX_g,lag-4,-0.32225162
IIB_tX_g,lag-3,-0.46564868
IIB_tX_g,lag-2,-0.59704342
IIB_tX_g,lag-1,-0.72878311
IIB_tX_g,lag0,-0.80762843
IIB_tX_g,lag1,-0.69207299
IIB_tX_g,lag2,-0.54588950
IIB_tX_g,lag3,-0.39298906
IIB_tX_g,lag4,-0.24952824
